,Date,rel_return_same_day
673,9/2/2011,-0.221025512
674,9/6/2011,-0.215035202
675,9/7/2011,-0.236464837
676,9/8/2011,-0.216337219
677,9/9/2011,-0.224798777
678,9/12/2011,-0.223812046
679,9/13/2011,-0.222885427
680,9/14/2011,-0.225510489
681,9/15/2011,-0.225317219
682,9/16/2011,-0.219133856
683,9/19/2011,-0.204062605
684,9/20/2011,-0.226530372
685,9/21/2011,-0.21772824
686,9/22/2011,-0.223144966
687,9/23/2011,-0.229411476
688,9/26/2011,-0.231870824
689,9/27/2011,-0.238887168
690,9/28/2011,-0.215906804
691,9/29/2011,-0.242691376
692,9/30/2011,-0.230174059
693,10/3/2011,-0.221342569
694,10/4/2011,-0.258902671
695,10/5/2011,-0.21801711
696,10/6/2011,-0.233261727
697,10/7/2011,-0.230043816
698,10/10/2011,-0.220122777
699,10/11/2011,-0.217610631
700,10/12/2011,-0.238058593
701,10/13/2011,-0.223799172
702,10/14/2011,-0.221970806
703,10/17/2011,-0.219284746
704,10/18/2011,-0.241860608
705,10/19/2011,-0.224678559
706,10/20/2011,-0.237845159
707,10/21/2011,-0.242905599
708,10/24/2011,-0.21696351
709,10/25/2011,-0.229845108
710,10/26/2011,-0.229263161
711,10/27/2011,-0.238747826
712,10/28/2011,-0.227225859
713,10/31/2011,-0.212530842
714,11/1/2011,-0.22890237
715,11/2/2011,-0.23350798
716,11/3/2011,-0.225655406
717,11/4/2011,-0.232315048
718,11/7/2011,-0.233011685
719,11/8/2011,-0.225477797
720,11/9/2011,-0.219824385
721,11/10/2011,-0.24749125
722,11/11/2011,-0.236356511
723,11/14/2011,-0.231478894
724,11/15/2011,-0.216743459
725,11/16/2011,-0.231741661
726,11/17/2011,-0.22974108
727,11/18/2011,-0.232198602
728,11/21/2011,-0.226768108
729,11/22/2011,-0.21452802
730,11/23/2011,-0.233048355
731,11/25/2011,-0.237251506
732,11/28/2011,-0.220627246
733,11/29/2011,-0.232769744
734,11/30/2011,-0.234792995
735,12/1/2011,-0.217207695
736,12/2/2011,-0.219805304
737,12/5/2011,-0.224494105
738,12/6/2011,-0.230717655
739,12/7/2011,-0.234421278
740,12/8/2011,-0.216770598
741,12/9/2011,-0.235285931
742,12/12/2011,-0.222421559
743,12/13/2011,-0.224335988
744,12/14/2011,-0.235232792
745,12/15/2011,-0.230877058
746,12/16/2011,-0.226830945
747,12/19/2011,-0.221443785
748,12/20/2011,-0.227065781
749,12/21/2011,-0.234159374
750,12/22/2011,-0.233152014
751,12/23/2011,-0.229633002
752,12/27/2011,-0.227637109
753,12/28/2011,-0.230006023
754,12/29/2011,-0.234318112
755,12/30/2011,-0.226183604
756,1/3/2012,-0.227206919
757,1/4/2012,-0.228801062
758,1/5/2012,-0.232735055
759,1/6/2012,-0.224436767
760,1/9/2012,-0.239133362
761,1/10/2012,-0.235488815
762,1/11/2012,-0.235240122
763,1/12/2012,-0.233474854
764,1/13/2012,-0.233202266
765,1/17/2012,-0.226908536
766,1/18/2012,-0.236960725
767,1/19/2012,-0.23788931
768,1/20/2012,-0.249186834
769,1/23/2012,-0.224191067
770,1/24/2012,-0.244494489
771,1/25/2012,-0.252756899
772,1/26/2012,-0.231266929
773,1/27/2012,-0.23053209
774,1/30/2012,-0.22474495
775,1/31/2012,-0.226611181
776,2/1/2012,-0.23696807
777,2/2/2012,-0.233236383
778,2/3/2012,-0.231313663
779,2/6/2012,-0.225565247
780,2/7/2012,-0.22986255
781,2/8/2012,-0.224025517
782,2/9/2012,-0.212101485
783,2/10/2012,-0.229513341
784,2/13/2012,-0.22772119
785,2/14/2012,-0.225998134
786,2/15/2012,-0.251072197
787,2/16/2012,-0.224015234
788,2/17/2012,-0.233104504
789,2/21/2012,-0.218653369
790,2/22/2012,-0.23097351
791,2/23/2012,-0.234033263
792,2/24/2012,-0.228163466
793,2/27/2012,-0.232093388
794,2/28/2012,-0.223415072
795,2/29/2012,-0.226810744
796,3/1/2012,-0.239719569
797,3/2/2012,-0.22903737
798,3/5/2012,-0.247549182
799,3/6/2012,-0.219073175
800,3/7/2012,-0.244475116
801,3/8/2012,-0.224682282
802,3/9/2012,-0.232367091
803,3/12/2012,-0.228156333
804,3/13/2012,-0.227388352
805,3/14/2012,-0.215833707
806,3/15/2012,-0.253399053
807,3/16/2012,-0.234123196
808,3/19/2012,-0.235563483
809,3/20/2012,-0.229483082
810,3/21/2012,-0.234176522
811,3/22/2012,-0.233676699
812,3/23/2012,-0.243006995
813,3/26/2012,-0.231642526
814,3/27/2012,-0.221966043
815,3/28/2012,-0.233077002
816,3/29/2012,-0.242405595
817,3/30/2012,-0.246551248
818,4/2/2012,-0.220870274
819,4/3/2012,-0.231036892
820,4/4/2012,-0.23364282
821,4/5/2012,-0.229658968
822,4/9/2012,-0.22429854
823,4/10/2012,-0.237962989
824,4/11/2012,-0.245984968
825,4/12/2012,-0.247399803
826,4/13/2012,-0.251497433
827,4/16/2012,-0.268875198
828,4/17/2012,-0.202123819
829,4/18/2012,-0.243082832
830,4/19/2012,-0.24689448
831,4/20/2012,-0.257305977
832,4/23/2012,-0.235501277
833,4/24/2012,-0.240945168
834,4/25/2012,-0.245503181
835,4/26/2012,-0.250590241
836,4/27/2012,-0.237145987
837,4/30/2012,-0.251952602
838,5/1/2012,-0.244317711
839,5/2/2012,-0.230200248
840,5/3/2012,-0.240902701
841,5/4/2012,-0.242925093
842,5/7/2012,-0.228033989
843,5/8/2012,-0.238948476
844,5/9/2012,-0.231769745
845,5/10/2012,-0.237280503
846,5/11/2012,-0.235735835
847,5/14/2012,-0.240341361
848,5/15/2012,-0.242994251
849,5/16/2012,-0.240262154
850,5/17/2012,-0.245497897
851,5/18/2012,-0.231147092
852,5/21/2012,-0.208270746
853,5/22/2012,-0.251823998
854,5/23/2012,-0.223686735
855,5/24/2012,-0.248999978
856,5/25/2012,-0.236485812
857,5/29/2012,-0.236821981
858,5/30/2012,-0.217449207
859,5/31/2012,-0.238135467
860,6/1/2012,-0.239186037
861,6/4/2012,-0.230024178
862,6/5/2012,-0.240682564
863,6/6/2012,-0.242253939
864,6/7/2012,-0.234796148
865,6/8/2012,-0.232005161
866,6/11/2012,-0.241484843
867,6/12/2012,-0.239817315
868,6/13/2012,-0.236050476
869,6/14/2012,-0.241648963
870,6/15/2012,-0.239665914
